Availability Zone|availability zone|No need to capitalize this term. "AZ" for short.
agent|Agent|Capitalize the first letter in the name of the Agent, which is the open-source software that collects metrics from hosts and reports back to Datadog.
auto-discovery|Autodiscovery|The Autodiscovery feature in Datadog is capitalized but not hyphenated.
autodiscovery|Autodiscovery|The Autodiscovery feature in Datadog is capitalized but not hyphenated.
autoscaling|auto-scaling|"Auto Scaling" is an AWS product, but unless referring specifically to that product the term should be lowercased and hyphenated.
back end|backend|In StatsD terminology, “backend" is one word.
boolean|Boolean|Capitalize the first letter in "Boolean," a data type with two possible values (usually True/False), named for the 19th-century English mathematician George Boole.
catalogue|catalog|Spelled the Amurrican way.
cheat sheet|cheatsheet|It's a bit of a historical accident that we use a single word for this. But now that we've done it, might as well be consistent.
datastore|data store|Two words, not one.
disaggregated|aggregated|You probably don't want to use this word. Consider aggregated instead.
filesystem|file system|Google trends shows that file system is the more-common usage.
